COD. UF,COD. MUNIC,pop
22,08551,2710
22,08601,3151
22,08650,8992
22,08700,8778
22,08809,17978
22,08858,4312
22,08874,4477
22,08908,7341
22,09005,6432
22,09104,6240
22,09153,4019
22,09203,6253
22,09302,5860
22,09351,4634
22,09377,5257
22,09401,6415
22,09450,2161
22,09500,3798
22,09559,4448
22,09609,2942
22,09658,5755
22,09708,6423
22,09757,3041
22,09807,5015
22,09856,4608
22,09872,6042
22,09906,6139
22,09955,4840
22,09971,7989
22,10003,20601
22,10052,5346
22,10102,3745
22,10201,6705
22,10300,6363
22,10359,4573
22,10375,2644
22,10383,2452
22,10391,3039
22,10409,17662
22,10508,14291
22,10607,34710
22,10623,3469
22,10631,4294
22,10656,10041
22,10706,14633
22,10805,12711
22,10904,4569
22,10938,6730
22,10953,2919
22,10979,2765
22,11001,864845
22,11100,44485
22,11209,21558
22,11308,20918
22,11357,4947
22,11407,4391
22,11506,3077
22,11605,2971
22,11704,4462
23,00101,11737
23,00150,14929
23,00200,62641
23,00309,54270
23,00408,17399
23,00507,11714
23,00606,7586
23,00705,17146
23,00754,43452
23,00804,7353
23,00903,14600
23,01000,80271
23,01109,74547
23,01208,26469
23,01257,10935
23,01307,21600
23,01406,11847
23,01505,7840
23,01604,23417
23,01703,24654
23,01802,6288
23,01851,18197
23,01901,60781
23,01950,22425
23,02008,22680
23,02057,15017
23,02107,35750
23,02206,53573
23,02305,32591
23,02404,54470
23,02503,49477
23,02602,63661
23,02701,27426
23,02800,76997
23,02909,17738
23,03006,22547
23,03105,18448
23,03204,26965
23,03303,18699
23,03402,17606
23,03501,71743
23,03600,20698
23,03659,10342
23,03709,361400
23,03808,25557
23,03907,13069
23,03931,13521
23,03956,20264
23,04004,23136
23,04103,75074
23,04202,132123
23,04236,18063
23,04251,24827
23,04269,9625
23,04277,7198
23,04285,53618
23,04301,19450
23,04350,24218
23,04400,2669342
23,04459,16480
23,04509,14072
23,04608,7618
23,04657,14399
23,04707,54748
23,04806,4844
23,04905,11068
23,04954,26064
23,05001,40642
23,05100,5193
23,05209,19978
23,05233,67337
23,05266,13353
23,05308,24997
23,05332,12525
23,05357,19934
23,05407,68018
23,05506,102498
23,05605,26178
23,05654,11593
23,05704,12463
23,05803,41964
23,05902,38166
23,06009,14297
23,06108,24156
23,06207,7827
23,06256,37980
23,06306,52675
23,06405,129358
23,06504,20382
23,06553,41826
23,06603,21647
23,06702,18162
23,06801,11401
23,06900,34682
23,07007,33705
23,07106,27174
23,07205,8111
23,07254,19816
23,07304,274207
23,07403,24833
23,07502,31508
23,07601,59540
23,07635,19691
23,07650,227886
23,07700,128978
23,07809,27361
23,07908,11233
23,08005,38737
23,08104,47962
23,08203,15057
23,08302,27512
23,08351,13155
23,08377,13818
23,08401,35393
23,08500,43797
23,08609,17234
23,08708,61890
23,08807,8724
23,08906,22534
23,09003,14537
23,09102,10823
23,09201,15565
23,09300,32328
23,09409,28607
23,09458,25703
23,09508,21427
23,09607,72203
23,09706,83432
23,09805,12261
23,09904,6533
23,10001,9386
23,10100,13322
23,10209,35076
23,10258,32744
23,10308,31521
23,10407,12226
23,10506,43258
23,10605,9077
23,10704,37751
23,10803,16307
23,10852,20567
23,10902,16959
23,10951,10951
23,11009,12336
23,11108,14996
23,11207,11045
23,11231,6419
23,11264,21084
23,11306,87728
23,11355,16178
23,11405,81082
23,11504,22149
23,11603,29053
23,11702,18491
23,11801,78194
23,11900,15819
23,11959,16554
23,12007,32452
23,12106,17700
23,12205,43703
23,12304,47903
23,12403,48422
23,12502,7645
23,12601,13000
23,12700,25496
23,12809,7623
23,12908,208935
23,13005,18324
23,13104,30697
23,13203,26251
23,13252,8592
23,13302,58859
23,13351,19187
23,13401,75946
23,13500,55918
23,13559,16271
23,13609,34792
23,13708,7733
23,13757,19825
23,13807,21850
23,13906,13840
23,13955,18420
23,14003,40721
23,14102,60889
24,00109,11136
24,00208,58017
24,00307,11035
24,00406,3252
24,00505,13577
24,00604,4735
24,00703,14529
24,00802,11714
24,00901,7145
24,01008,35845
24,01107,27774
24,01206,14306
24,01305,9655
24,01404,9271
24,01453,28374
24,01503,3998
24,01602,5497
24,01651,2223
24,01701,10210
24,01800,12699
24,01859,6549
24,01909,3684
24,02006,67952
24,02105,11217
24,02204,34276
24,02303,20493
24,02402,8180
24,02501,10759
24,02600,73497
24,02709,11179
24,02808,5506
24,02907,4912
24,03004,7998
24,03103,44786
24,03202,7076
24,03251,261469
24,03301,5638
24,03400,6045
24,03509,10505
24,03608,28583
24,03707,5985
24,03756,3054
24,03806,9116
24,03905,2824
24,04002,4068
24,04101,2786
24,04200,26328
24,04309,13037
24,04408,10383
24,04507,15659
24,04606,13766
24,04705,15491
24,04804,2241
24,04853,7548
24,04903,5878
24,05009,9133
24,05108,6878
24,05207,5268
24,05306,10181
24,05405,5055
24,05504,2612
24,05603,14837
24,05702,12396
24,05801,34955
24,05900,2654
24,06007,5951
24,06106,18295
24,06155,3898
24,06205,6769
24,06304,7544
24,06403,2732
24,06502,15614
24,06601,8245
24,06700,11277
24,06809,4759
24,06908,3996
24,07005,10116
24,07104,80792
24,07203,31814
24,07252,4020
24,07302,8347
24,07401,8725
24,07500,12371
24,07609,4601
24,07708,11251
24,07807,22451
24,07906,2105
24,08003,297378
24,08102,884122
24,08201,27602
24,08300,37343
24,08409,4258
24,08508,4812
24,08607,4254
24,08706,3768
24,08805,5237
24,08904,21477
24,08953,10848
24,09100,13277
24,09209,3089
24,09308,12755
24,09332,5551
24,09407,30394
24,09506,3237
24,09605,2458
24,09704,6716
24,09803,14806
24,09902,15129
24,10009,3838
24,10108,15413
24,10207,7867
24,10256,6437
24,10306,10395
24,10405,9621
24,10504,5098
24,10603,3201
24,10702,3579
24,10801,4204
24,10900,8128
24,11007,4467
24,11056,4106
24,11106,3600
24,11205,39674
24,11403,12791
24,11429,2680
24,11502,24136
24,11601,2747
24,11700,4449
24,11809,3584
24,11908,4228
24,12005,102400
24,12104,6193
24,12203,43899
24,12302,12856
24,12401,4634
24,12500,23519
24,12559,10282
24,12609,17579
24,12708,5971
24,12807,8202
24,12906,11055
24,13003,6424
24,13102,6086
24,13201,4440
24,13300,5762
24,13359,11938
24,13409,8078
24,13508,6229
24,13557,4800
24,13607,2440
24,13706,5522
24,13805,2566
24,13904,12279
24,14001,15727
24,14100,10786
24,14159,5952
24,14209,14180
24,14308,2414
24,14407,33287
24,14456,3237
24,14506,10555
24,14605,14659
24,14704,5500
24,14753,4177
24,14803,12481
24,14902,1718
24,15008,3170
25,00106,10234
25,00205,5640
25,00304,28496
25,00403,20849
25,00502,14489
25,00536,5492
25,00577,2567
25,00601,19588
25,00700,18034
25,00734,2238
25,00775,8347
25,00809,16987
25,00908,13470
25,01005,20312
25,01104,22819
25,01153,2128
25,01203,6998
25,01302,19153
25,01351,3990
25,01401,8993
25,01500,21318
25,01534,4892
25,01575,8359
25,01609,15384
25,01708,6036
25,01807,96880
25,01906,17676
25,02003,7342
25,02052,3501
25,02102,5366
25,02151,7051
25,02201,2561
25,02300,4975
25,02409,11917
25,02508,17804
25,02607,6117
25,02706,5263
25,02805,14122
25,02904,6449
25,03001,21828
25,03100,5611
25,03209,67736
25,03308,10244
25,03407,3682
25,03506,17187
25,03555,7173
25,03605,7201
25,03704,61993
25,03753,3193
25,03803,6014
25,03902,6013
25,04009,409731
25,04033,6523
25,04074,4162
25,04108,2659
25,04157,7468
25,04207,4932
25,04306,30546
25,04355,4852
25,04405,18982
25,04504,6654
25,04603,24670
25,04702,4786
25,04801,15445
25,04850,1921
25,04900,17319
25,05006,7797
25,05105,20338
25,05204,6803
25,05238,6353
25,05279,5227
25,05303,2516
25,05352,5330
25,05402,8297
25,05501,3798
25,05600,6552
25,05709,10453
25,05808,3596
25,05907,3522
25,06004,33007
25,06103,11253
25,06202,2989
25,06251,8316
25,06301,58833
25,06400,14129
25,06509,3428
25,06608,5929
25,06707,11819
25,06806,18103
25,06905,24477
25,07002,24692
25,07101,18664
25,07200,10962
25,07309,14431
25,07408,7739
25,07507,809015
25,07606,7936
25,07705,18171
25,07804,7150
25,07903,10756
25,08000,9867
25,08109,4666
25,08208,7719
25,08307,27503
25,08406,2737
25,08505,7256
25,08554,4332
25,08604,13080
25,08703,4009
25,08802,5759
25,08901,44882
25,09008,10955
25,09057,8558
25,09107,21837
25,09156,6617
25,09206,13918
25,09305,8434
25,09339,4500
25,09370,2908
25,09396,6569
25,09404,13284
25,09503,5669
25,09602,4816
25,09701,33222
25,09800,9902
25,09909,10454
25,10006,7301
25,10105,10638
25,10204,5949
25,10303,4906
25,10402,6526
25,10501,3932
25,10600,3039
25,10659,1771
25,10709,2419
25,10808,107605
25,10907,12347
25,11004,3801
25,11103,7843
25,11202,28458
25,11301,16075
25,11400,18703
25,11509,11917
25,11608,6635
25,11707,4976
25,11806,10579
25,11905,19065
25,12002,18564
25,12036,3888
25,12077,4307
25,12101,32801
25,12200,4209
25,12309,23345
25,12408,13680
25,12507,43967
25,12606,1956
25,12705,19621
25,12721,6089
25,12747,3588
25,12754,4521
25,12762,4509
25,12788,1948
25,12804,8526
25,12903,24176
25,13000,3885
25,13109,12140
25,13158,6558
25,13208,6583
25,13307,5889
25,13356,3595
25,13406,15382
25,13505,5162
25,13604,7031
25,13653,2636
25,13703,136586
25,13802,4573
25,13851,2521
25,13901,34031
25,13927,4529
25,13943,2615
25,13968,3073
25,13984,3392
25,14008,4199
25,14107,4422
25,14206,7630
25,14305,6359
25,14404,4682
25,14453,5957
25,14503,20251
25,14552,4003
25,14602,3557
25,14651,1801
25,14701,4141
25,14800,3628
25,14909,7724
25,15005,7368
25,15104,11661
25,15203,3489
25,15302,52625
25,15401,10775
25,15500,13699
25,15609,3148
25,15708,2909
25,15807,7041
25,15906,6099
25,15930,5024
25,15971,7783
25,16003,26407
25,16102,14989
25,16151,3555
25,16201,69444
25,16300,16966
25,16409,10911
25,16508,15376
25,16607,14726
25,16706,15161
25,16755,3058
25,16805,9455
25,16904,15242
25,17001,9907
25,17100,2810
25,17209,5348
25,17407,2240
26,00054,99990
26,00104,37259
26,00203,19635
26,00302,24885
26,00401,36771
26,00500,43443
26,00609,14636
26,00708,38386
26,00807,22972
26,00906,22829
26,01003,11150
26,01052,20524
26,01102,84418
26,01201,74338
26,01300,14385
26,01409,42659
26,01508,12073
26,01607,20729
26,01706,76439
26,01805,12719
26,01904,60798
26,02001,38146
26,02100,48554
26,02209,39184
26,02308,38134
26,02407,8993
26,02506,7487
26,02605,50742
26,02704,13155
26,02803,58378
26,02902,207048
26,03009,34221
26,03108,20380
26,03207,28739
26,03306,11053
26,03405,5750
26,03454,157828
26,03504,18765
26,03603,8551
26,03702,24804
26,03801,20048
26,03900,19551
26,03926,12932
26,04007,83641
26,04106,361118
26,04155,14341
26,04205,42892
26,04304,11807
26,04403,13518
26,04502,21698
26,04601,26421
26,04700,18207
26,04809,12578
26,04908,10906
26,05004,24107
26,05103,37111
26,05152,18908
26,05202,68875
26,05301,31825
26,05400,22131
26,05459,3061
26,05509,12123
26,05608,22624
26,05707,32873
26,05806,15457
26,05905,31052
26,06002,139788
26,06101,30604
26,06200,79758
26,06309,7486
26,06408,84074
26,06507,19197
26,06606,29235
26,06705,7762
26,06804,117019
26,06903,12228
26,07000,23247
26,07109,4548
26,07208,96204
26,07307,30854
26,07406,4918
26,07505,26349
26,07604,26258
26,07653,36447
26,07703,13616
26,07752,26651
26,07802,16955
26,07901,702298
26,07950,11656
26,08008,17150
26,08057,14796
26,08107,33822
26,08206,16023
26,08255,11424
26,08305,14836
26,08404,15378
26,08453,18071
26,08503,21429
26,08602,13145
26,08701,16290
26,08750,25601
26,08800,40288
26,08909,56250
26,09006,25376
26,09105,16088
26,09154,21434
26,09204,11345
26,09303,15390
26,09402,62784
26,09501,32471
26,09600,392482
26,09709,23884
26,09808,14991
26,09907,69459
26,10004,63250
26,10103,7693
26,10202,26474
26,10301,11523
26,10400,22010
26,10509,28933
26,10608,56506
26,10707,331774
26,10806,22617
26,10905,67395
26,11002,36548
26,11101,349145
26,11200,11302
26,11309,27091
26,11408,14966
26,11507,26037
26,11533,6813
26,11606,1645727
26,11705,20546
26,11804,47415
26,11903,23535
26,12000,9932
26,12109,10919
26,12208,60930
26,12307,15843
26,12406,26462
26,12455,15398
26,12471,12592
26,12505,107937
26,12554,14477
26,12604,41931
26,12703,14137
26,12802,11815
26,12901,15895
26,13008,59504
26,13107,37245
26,13206,22793
26,13305,21356
26,13404,21298
26,13503,33959
26,13602,33951
26,13701,113230
26,13800,18018
26,13909,86350
26,14006,19165
26,14105,35907
26,14204,45865
26,14303,11270
26,14402,6007
26,14501,65089
26,14600,28534
26,14709,12874
26,14808,25765
26,14857,23388
26,15003,28775
26,15102,7169
26,15201,10096
26,15300,53022
26,15409,45219
26,15508,13769
26,15607,30521
26,15706,15254
26,15805,27304
26,15904,8202
26,16001,18482
26,16100,9534
26,16183,7618
26,16209,20731
26,16308,32643
26,16407,138757
26,16506,14725
27,00102,20196
27,00201,17545
27,00300,231747
27,00409,47185
27,00508,15932
27,00607,8322
27,00706,18232
27,00805,4344
27,00904,6704
27,01001,27281
27,01100,10494
27,01209,10858
27,01308,21264
27,01357,6936
27,01407,57063
27,01506,9558
27,01605,17722
27,01704,17053
27,01803,9081
27,01902,7311
27,02009,10693
27,02108,21698
27,02207,5845
27,02306,56933
27,02355,24219
27,02405,52016
27,02504,11075
27,02553,18205
27,02603,22166
27,02702,4754
27,02801,12790
27,02900,40917
27,03007,15616
27,03106,25631
27,03205,24499
27,03304,18385
27,03403,5253
27,03502,7021
27,03601,8361
27,03700,5770
27,03759,11580
27,03809,23993
27,03908,4155
27,04005,24727
27,04104,17852
27,04203,28635
27,04302,1018948
27,04401,19804
27,04500,32704
27,04609,9163
27,04708,51901
27,04807,13264
27,04906,3514
27,05002,25216
27,05101,24642
27,05200,17856
27,05309,5329
27,05408,7159
27,05507,28236
27,05606,12690
27,05705,21688
27,05804,9373
27,05903,5123
27,06000,11624
27,06109,11496
27,06208,5011
27,06307,73218
27,06406,24399
27,06422,10533
27,06448,13176
27,06505,15245
27,06604,7564
27,06703,63683
27,06802,17827
27,06901,35111
27,07008,2908
27,07107,25039
27,07206,14386
27,07305,27165
27,07404,7786
27,07503,20066
27,07602,11294
27,07701,75120
27,07800,6664
27,07909,7296
27,08006,47654
27,08105,10740
27,08204,6961
27,08303,23927
27,08402,32260
