,data,sigla_estado,total_casos,total_obitos,novos_casos,novos_obitos,mm_7dias_novos_casos,mm_7dias_novos_obitos,pop,cod_uf,estado,total_casos%,total_obitos%,novos_casos%,novos_obitos%,mm_7dias_novos_casos%,mm_7dias_novos_obitos%
101,2020-03-16,BA,10.0,0.0,1.0,0.0,0.42857142857142855,0.0,14873064,29,Bahia,0.06723564155980234,0.0,0.0067235641559802335,0.0,0.0028815274954201,0.0
102,2020-03-16,CE,9.0,0.0,9.0,0.0,0.0,0.0,9132078,23,Ceará,0.09855369172273824,0.0,0.09855369172273824,0.0,0.0,0.0
103,2020-03-16,DF,19.0,0.0,5.0,0.0,2.5714285714285716,0.0,3015268,53,Distrito Federal,0.6301264099907538,0.0,0.16582273947125098,0.0,0.08528026601378623,0.0
104,2020-03-16,GO,9.0,0.0,5.0,0.0,0.0,0.0,7018354,52,Goiás,0.12823519588781074,0.0,0.07124177549322819,0.0,0.0,0.0
105,2020-03-16,MG,6.0,0.0,2.0,0.0,0.0,0.0,21168791,31,Minas Gerais,0.028343612065516638,0.0,0.009447870688505547,0.0,0.0,0.0
106,2020-03-16,MS,4.0,0.0,2.0,0.0,0.0,0.0,2778986,50,Mato Grosso do Sul,0.1439373929915444,0.0,0.0719686964957722,0.0,0.0,0.0
107,2020-03-16,PE,7.0,0.0,0.0,0.0,0.0,0.0,9557071,26,Pernambuco,0.07324419793470197,0.0,0.0,0.0,0.0,0.0
108,2020-03-16,PR,6.0,0.0,0.0,0.0,0.0,0.0,11433957,41,Paraná,0.05247527168415973,0.0,0.0,0.0,0.0,0.0
109,2020-03-16,RJ,25.0,0.0,1.0,0.0,3.0,0.0,17264943,33,Rio de Janeiro,0.1448020998389627,0.0,0.005792083993558507,0.0,0.017376251980675522,0.0
110,2020-03-16,RN,1.0,0.0,0.0,0.0,0.0,0.0,3506853,24,Rio Grande do Norte,0.028515595036347402,0.0,0.0,0.0,0.0,0.0
111,2020-03-16,RS,8.0,0.0,4.0,0.0,0.14285714285714285,0.0,11377239,43,Rio Grande do Sul,0.07031582970174047,0.0,0.035157914850870234,0.0,0.0012556398161025083,0.0
112,2020-03-16,SC,7.0,0.0,1.0,0.0,0.0,0.0,7164788,42,Santa Catarina,0.09770002964498042,0.0,0.01395714709214006,0.0,0.0,0.0
113,2020-03-16,SE,5.0,0.0,4.0,0.0,0.0,0.0,2298696,28,Sergipe,0.21751462568343097,0.0,0.17401170054674475,0.0,0.0,0.0
114,2020-03-16,SP,152.0,0.0,87.0,0.0,18.571428571428573,0.0,45919049,35,São Paulo,0.3310173083070601,0.0,0.18946385409680414,0.0,0.040443844060073134,0.0
115,2020-03-17,AC,3.0,0.0,3.0,0.0,0.0,0.0,881935,12,Acre,0.340161122985254,0.0,0.340161122985254,0.0,0.0,0.0
116,2020-03-17,AL,1.0,0.0,0.0,0.0,0.0,0.0,3337357,27,Alagoas,0.0299638306600103,0.0,0.0,0.0,0.0,0.0
117,2020-03-17,AM,2.0,0.0,0.0,0.0,0.0,0.0,4144597,13,Amazonas,0.04825559638247096,0.0,0.0,0.0,0.0,0.0
118,2020-03-17,BA,14.0,0.0,4.0,0.0,0.42857142857142855,0.0,14873064,29,Bahia,0.09412989818372328,0.0,0.026894256623920934,0.0,0.0028815274954201,0.0
119,2020-03-17,CE,10.0,0.0,1.0,0.0,0.0,0.0,9132078,23,Ceará,0.1095041019141536,0.0,0.01095041019141536,0.0,0.0,0.0
120,2020-03-17,DF,19.0,0.0,0.0,0.0,2.5714285714285716,0.0,3015268,53,Distrito Federal,0.6301264099907538,0.0,0.0,0.0,0.08528026601378623,0.0
121,2020-03-17,GO,10.0,0.0,1.0,0.0,0.0,0.0,7018354,52,Goiás,0.14248355098645638,0.0,0.014248355098645638,0.0,0.0,0.0
122,2020-03-17,MG,14.0,0.0,8.0,0.0,0.0,0.0,21168791,31,Minas Gerais,0.06613509481953882,0.0,0.037791482754022186,0.0,0.0,0.0
123,2020-03-17,MS,6.0,0.0,2.0,0.0,0.0,0.0,2778986,50,Mato Grosso do Sul,0.2159060894873166,0.0,0.0719686964957722,0.0,0.0,0.0
124,2020-03-17,PE,16.0,0.0,9.0,0.0,0.0,0.0,9557071,26,Pernambuco,0.16741530956503306,0.0,0.0941711116303311,0.0,0.0,0.0
125,2020-03-17,PR,12.0,0.0,6.0,0.0,0.0,0.0,11433957,41,Paraná,0.10495054336831947,0.0,0.05247527168415973,0.0,0.0,0.0
126,2020-03-17,RJ,25.0,0.0,0.0,0.0,3.0,0.0,17264943,33,Rio de Janeiro,0.1448020998389627,0.0,0.0,0.0,0.017376251980675522,0.0
127,2020-03-17,RN,1.0,0.0,0.0,0.0,0.0,0.0,3506853,24,Rio Grande do Norte,0.028515595036347402,0.0,0.0,0.0,0.0,0.0
128,2020-03-17,RS,8.0,0.0,0.0,0.0,0.8571428571428571,0.0,11377239,43,Rio Grande do Sul,0.07031582970174047,0.0,0.0,0.0,0.00753383889661505,0.0
129,2020-03-17,SC,7.0,0.0,0.0,0.0,0.0,0.0,7164788,42,Santa Catarina,0.09770002964498042,0.0,0.0,0.0,0.0,0.0
130,2020-03-17,SE,5.0,0.0,0.0,0.0,0.0,0.0,2298696,28,Sergipe,0.21751462568343097,0.0,0.0,0.0,0.0,0.0
131,2020-03-17,SP,164.0,1.0,12.0,1.0,19.714285714285715,0.14285714285714285,45919049,35,São Paulo,0.35715025369972275,0.0021777454493885533,0.02613294539266264,0.0021777454493885533,0.042932696002231485,0.0003111064927697933
132,2020-03-18,AC,3.0,0.0,0.0,0.0,0.0,0.0,881935,12,Acre,0.340161122985254,0.0,0.0,0.0,0.0,0.0
133,2020-03-18,AL,1.0,0.0,0.0,0.0,0.0,0.0,3337357,27,Alagoas,0.0299638306600103,0.0,0.0,0.0,0.0,0.0
134,2020-03-18,AM,2.0,0.0,0.0,0.0,0.0,0.0,4144597,13,Amazonas,0.04825559638247096,0.0,0.0,0.0,0.0,0.0
135,2020-03-18,BA,27.0,0.0,13.0,0.0,0.2857142857142857,0.0,14873064,29,Bahia,0.1815362322114663,0.0,0.08740633402774305,0.0,0.0019210183302800666,0.0
136,2020-03-18,CE,19.0,0.0,9.0,0.0,0.0,0.0,9132078,23,Ceará,0.20805779363689184,0.0,0.09855369172273824,0.0,0.0,0.0
137,2020-03-18,DF,34.0,0.0,15.0,0.0,4.571428571428571,0.0,3015268,53,Distrito Federal,1.1275946284045066,0.0,0.49746821841375294,0.0,0.1516093618022866,0.0
138,2020-03-18,GO,12.0,0.0,2.0,0.0,1.1428571428571428,0.0,7018354,52,Goiás,0.17098026118374765,0.0,0.028496710197291275,0.0,0.016283834398452154,0.0
139,2020-03-18,MG,19.0,0.0,5.0,0.0,0.14285714285714285,0.0,21168791,31,Minas Gerais,0.08975477154080269,0.0,0.023619676721263864,0.0,0.0006748479063218247,0.0
140,2020-03-18,MS,7.0,0.0,1.0,0.0,0.0,0.0,2778986,50,Mato Grosso do Sul,0.2518904377352027,0.0,0.0359843482478861,0.0,0.0,0.0
141,2020-03-18,PA,1.0,0.0,1.0,0.0,0.0,0.0,8602865,15,Pará,0.011624034551280301,0.0,0.011624034551280301,0.0,0.0,0.0
